Date,Description,Debit,Credit,Balance
2025-04-01,"DIRECT DEPOSIT - ACME CORPORATION",,3500.00,3500.00
2025-04-03,"PAYMENT - APARTMENT RENT",1200.00,,2300.00
2025-04-05,"POS PURCHASE - KROGER GROCERY",89.50,,2210.50
2025-04-07,"ATM WITHDRAWAL",100.00,,2110.50
2025-04-10,"ACH DEBIT - NETFLIX SUBSCRIPTION",15.99,,2094.51
2025-04-12,"POS PURCHASE - SHELL OIL",42.75,,2051.76
2025-04-15,"TRANSFER TO SAVINGS",200.00,,1851.76
2025-04-18,"ACH DEBIT - ELECTRIC COMPANY",78.45,,1773.31
2025-04-20,"POS PURCHASE - AMAZON.COM",45.75,,1727.56
2025-04-22,"POS PURCHASE - STARBUCKS",4.95,,1722.61
2025-04-25,"POS PURCHASE - SHELL OIL",39.50,,1683.11
2025-04-27,"ELECTRONIC PMT - CREDIT CARD",150.00,,1533.11
2025-04-28,"POS PURCHASE - WALGREENS",23.75,,1509.36
2025-04-30,"DIRECT DEPOSIT - FREELANCE PAYMENT",,750.00,2259.36
2025-05-01,"DIRECT DEPOSIT - ACME CORPORATION",,3500.00,5759.36
2025-05-03,"PAYMENT - APARTMENT RENT",1200.00,,4559.36
2025-05-05,"POS PURCHASE - KROGER GROCERY",102.35,,4457.01
2025-05-07,"POS PURCHASE - HOME DEPOT",87.50,,4369.51
2025-05-10,"ACH DEBIT - NETFLIX SUBSCRIPTION",15.99,,4353.52
2025-05-12,"POS PURCHASE - SHELL OIL",45.25,,4308.27
2025-05-15,"TRANSFER TO SAVINGS",200.00,,4108.27
2025-05-15,"TRANSFER TO INVESTMENT ACCOUNT",300.00,,3808.27
2025-05-18,"ACH DEBIT - ELECTRIC COMPANY",82.15,,3726.12
2025-05-20,"POS PURCHASE - RESTAURANT",65.75,,3660.37
2025-05-22,"POS PURCHASE - STARBUCKS",4.95,,3655.42
2025-05-25,"ACH DEBIT - INTERNET SERVICE",65.00,,3590.42
2025-05-27,"ELECTRONIC PMT - CREDIT CARD",200.00,,3390.42
2025-05-30,"DIRECT DEPOSIT - FREELANCE PAYMENT",,500.00,3890.42